subject_id,f1
1,0.951613
2,0.715789
4,0.000000
5,0.918919
6,0.991597
7,0.630435
8,0.574713
9,0.861314
10,0.000000
12,0.000000
13,0.000000
14,0.828829
15,0.766234
16,0.421053
17,0.975610
19,0.487805
22,0.093750
23,0.112676
24,0.000000
25,0.827068
26,0.531250
27,0.000000
28,0.641026
29,0.376471
30,0.418410
31,0.800000
32,0.936508
33,0.208955
34,0.597938
37,0.484472
39,0.991597
40,0.843750
41,0.770642
42,0.803150
43,1.000000
44,0.059701
45,0.736111
46,0.930233
47,0.659218
48,0.768116
50,0.000000
51,0.890756
52,0.657343
53,0.651685
54,0.807339
55,0.803922
56,0.815385
57,0.344023
58,0.153846
59,0.869565
60,0.944000
61,0.743590
62,0.563107
63,0.784314
64,0.928571
66,0.780822
67,0.000000
68,0.532258
69,0.125000
70,0.464567
71,0.031250
72,0.649351
73,0.965517
74,0.794118
76,0.867647
77,0.600000
78,0.453333
80,0.693878
81,0.611111
83,0.787879
84,0.966102
85,0.723404
88,0.907692
89,0.670391
90,1.000000
91,0.211765
92,0.849558
93,0.806723
94,0.967742
95,0.967742
98,0.500000
99,0.000000
100,1.000000
101,0.150000
102,0.578680
103,0.154589
104,0.690909
108,0.000000
109,0.975610
