subject_id,f1
1,0.906250
2,1.000000
4,0.966667
5,1.000000
6,0.983051
7,0.933333
8,0.952381
9,0.983051
10,0.983051
12,0.967742
13,0.966667
14,0.966667
15,0.965517
16,0.872727
17,0.965517
19,0.950820
22,0.983051
23,0.814815
24,0.915254
25,1.000000
26,0.950820
27,1.000000
28,0.983607
29,0.983051
30,0.821429
31,0.909091
32,0.931034
33,0.965517
34,0.965517
37,0.906250
39,0.983051
40,0.933333
41,0.852941
42,1.000000
43,1.000000
44,0.983051
45,0.983607
46,0.966667
47,0.933333
48,1.000000
50,0.965517
51,0.950820
52,0.935484
53,0.965517
54,0.950820
55,0.966667
56,0.983051
57,0.952381
58,0.965517
59,0.983051
60,0.983051
61,0.965517
62,0.949153
63,0.967742
64,0.983051
66,0.906250
67,0.950820
68,0.966667
69,0.949153
70,0.966667
71,0.949153
72,0.895522
73,0.983607
74,0.983607
76,0.966667
77,0.967742
78,0.933333
80,0.935484
81,0.918033
83,0.966667
84,0.983607
85,0.965517
88,0.931034
89,0.983607
90,0.983051
91,1.000000
92,0.966667
93,0.888889
94,0.965517
95,0.983051
98,0.983607
99,0.966667
100,1.000000
101,0.918033
102,0.933333
103,0.862069
104,0.983607
108,0.935484
109,1.000000
