subject_id,run,condition,n_windows,n_windows_not_ok,fraction_not_ok,n_windows_any_flag,fraction_any_flag,n_windows_frontal_flag,fraction_frontal_flag
1,1,eyes_open,60,0,0.0000,11,0.1833,11,0.1833
1,2,eyes_closed,60,0,0.0000,5,0.0833,0,0.0000
2,1,eyes_open,60,0,0.0000,7,0.1167,7,0.1167
2,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
4,1,eyes_open,60,0,0.0000,60,1.0000,0,0.0000
4,2,eyes_closed,60,0,0.0000,7,0.1167,0,0.0000
5,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
5,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
6,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
6,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
7,1,eyes_open,60,0,0.0000,18,0.3000,18,0.3000
7,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
8,1,eyes_open,60,0,0.0000,2,0.0333,2,0.0333
8,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
9,1,eyes_open,60,39,0.6500,60,1.0000,58,0.9667
9,2,eyes_closed,60,0,0.0000,51,0.8500,8,0.1333
10,1,eyes_open,60,2,0.0333,20,0.3333,20,0.3333
10,2,eyes_closed,60,0,0.0000,7,0.1167,1,0.0167
12,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
12,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
13,1,eyes_open,60,5,0.0833,21,0.3500,21,0.3500
13,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
14,1,eyes_open,59,0,0.0000,6,0.1017,6,0.1017
14,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
15,1,eyes_open,60,0,0.0000,3,0.0500,3,0.0500
15,2,eyes_closed,60,0,0.0000,2,0.0333,0,0.0000
16,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
16,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
17,1,eyes_open,60,4,0.0667,14,0.2333,8,0.1333
17,2,eyes_closed,60,0,0.0000,2,0.0333,0,0.0000
19,1,eyes_open,60,1,0.0167,15,0.2500,15,0.2500
19,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
22,1,eyes_open,60,28,0.4667,60,1.0000,60,1.0000
22,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
23,1,eyes_open,60,2,0.0333,39,0.6500,38,0.6333
23,2,eyes_closed,60,3,0.0500,15,0.2500,7,0.1167
24,1,eyes_open,60,0,0.0000,31,0.5167,31,0.5167
24,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
25,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
25,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
26,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
26,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
27,1,eyes_open,60,0,0.0000,19,0.3167,17,0.2833
27,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
28,1,eyes_open,60,6,0.1000,26,0.4333,26,0.4333
28,2,eyes_closed,60,0,0.0000,2,0.0333,0,0.0000
29,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
29,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
30,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
30,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
31,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
31,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
32,1,eyes_open,60,0,0.0000,13,0.2167,13,0.2167
32,2,eyes_closed,60,0,0.0000,2,0.0333,0,0.0000
33,1,eyes_open,60,0,0.0000,6,0.1000,6,0.1000
33,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
34,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
34,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
37,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
37,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
39,1,eyes_open,60,0,0.0000,37,0.6167,35,0.5833
39,2,eyes_closed,60,0,0.0000,2,0.0333,0,0.0000
40,1,eyes_open,60,0,0.0000,12,0.2000,12,0.2000
40,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
41,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
41,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
42,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
42,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
43,1,eyes_open,60,19,0.3167,26,0.4333,26,0.4333
43,2,eyes_closed,60,0,0.0000,1,0.0167,0,0.0000
44,1,eyes_open,60,8,0.1333,49,0.8167,49,0.8167
44,2,eyes_closed,60,3,0.0500,32,0.5333,0,0.0000
45,1,eyes_open,60,4,0.0667,17,0.2833,16,0.2667
45,2,eyes_closed,60,2,0.0333,2,0.0333,2,0.0333
46,1,eyes_open,60,0,0.0000,24,0.4000,24,0.4000
46,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
47,1,eyes_open,60,0,0.0000,2,0.0333,0,0.0000
47,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
48,1,eyes_open,60,4,0.0667,21,0.3500,6,0.1000
48,2,eyes_closed,60,0,0.0000,20,0.3333,0,0.0000
50,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
50,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
51,1,eyes_open,59,0,0.0000,0,0.0000,0,0.0000
51,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
52,1,eyes_open,60,0,0.0000,13,0.2167,10,0.1667
52,2,eyes_closed,60,12,0.2000,44,0.7333,2,0.0333
53,1,eyes_open,60,4,0.0667,57,0.9500,57,0.9500
53,2,eyes_closed,60,0,0.0000,18,0.3000,0,0.0000
54,1,eyes_open,60,6,0.1000,35,0.5833,35,0.5833
54,2,eyes_closed,60,13,0.2167,59,0.9833,0,0.0000
55,1,eyes_open,60,0,0.0000,0,0.0000,0,0.0000
55,2,eyes_closed,60,0,0.0000,0,0.0000,0,0.0000
56,1,eyes_open,60,0,0.0000,4,0.0667,4,0.0667
