subject_id,f1
1,0.450980
2,0.419753
4,0.000000
5,0.470588
6,0.773585
7,0.176707
8,0.363636
9,0.807692
10,0.000000
12,0.373333
13,0.000000
14,0.779661
15,0.557377
16,0.342105
17,0.857143
19,0.435644
22,0.000000
23,0.000000
24,0.000000
25,0.774648
26,0.220339
27,0.000000
28,0.773723
29,0.000000
30,0.223602
31,0.482759
32,0.750000
33,0.518519
34,0.359281
37,0.310345
39,0.974790
40,0.697248
41,0.436364
42,0.333333
43,0.031746
44,0.000000
45,0.700000
46,0.341463
47,0.218182
48,0.109645
50,0.000000
51,0.921739
52,0.084906
53,0.119403
54,0.000000
55,0.140845
56,0.573427
57,0.528571
58,0.309859
59,0.857143
60,0.032258
61,0.102564
62,0.434783
63,0.646341
64,0.638298
66,0.271777
67,0.089552
68,0.057143
69,0.630435
70,0.276243
71,0.076923
72,0.026667
73,0.920354
74,0.410596
76,0.569948
77,0.416000
78,0.000000
80,0.169811
81,0.000000
83,0.687500
84,0.379747
85,0.378378
88,0.525547
89,0.227848
90,0.857143
91,0.298246
92,0.203390
93,0.344828
94,0.852713
95,0.848921
98,0.611111
99,0.436782
100,0.930233
101,0.111111
102,0.722222
103,0.131579
104,0.308511
108,0.000000
109,0.456522
