subject_id,f1
1,0.885246
2,0.875000
4,0.920635
5,0.983051
6,0.949153
7,0.931034
8,0.935484
9,0.983607
10,0.754098
12,0.933333
13,0.866667
14,0.966667
15,0.950820
16,0.846154
17,0.912281
19,0.865672
22,0.779661
23,0.523810
24,0.750000
25,0.983051
26,0.800000
27,0.881356
28,0.848485
29,0.909091
30,0.408163
31,0.819672
32,0.763636
33,0.933333
34,0.843750
37,0.823529
39,0.950820
40,0.857143
41,0.656716
42,0.966667
43,0.733333
44,0.631579
45,0.965517
46,0.727273
47,0.714286
48,0.931034
50,0.830769
51,0.895522
52,0.724638
53,0.949153
54,0.952381
55,0.785714
56,0.937500
57,0.732394
58,0.877193
59,0.965517
60,1.000000
61,0.779661
62,0.689655
63,1.000000
64,0.807018
66,0.685714
67,0.950820
68,0.553191
69,0.900000
70,0.597403
71,0.931034
72,0.781250
73,1.000000
74,0.800000
76,0.872727
77,0.773333
78,0.821429
80,0.758621
81,0.602740
83,0.983607
84,0.967742
85,0.947368
88,0.750000
89,0.983607
90,1.000000
91,0.967742
92,0.733333
93,0.783784
94,0.830189
95,0.923077
98,0.931034
99,0.912281
100,1.000000
101,0.909091
102,0.881356
103,0.836364
104,0.640000
108,0.615385
109,0.950820
