subject_id,eer,n_genuine,n_impostor,n_genuine_not_ok
1,0.000000,56,952,0
2,0.017857,56,952,0
4,0.107143,56,952,0
5,0.069328,56,952,0
6,0.000000,56,952,0
7,0.077731,56,952,0
8,0.053571,56,952,0
9,0.000000,56,952,0
10,0.241597,56,952,0
12,0.022059,56,952,0
13,0.142857,56,952,0
14,0.001050,56,952,0
15,0.017857,56,952,0
16,0.057773,56,952,0
17,0.000000,56,896,0
19,0.017857,56,952,0
22,0.053571,56,896,0
23,0.076681,56,952,3
24,0.053571,56,952,0
25,0.000000,56,896,0
26,0.013655,56,952,0
27,0.253151,56,952,0
28,0.003151,56,952,0
29,0.001050,56,952,0
30,0.089286,56,952,0
31,0.018908,56,952,0
32,0.008403,56,952,0
33,0.035714,56,952,0
34,0.122899,56,952,0
37,0.002101,56,952,0
39,0.007812,56,896,0
40,0.003348,56,896,0
41,0.094538,56,952,0
42,0.000000,56,896,0
43,0.168067,56,952,0
44,0.214286,56,952,2
45,0.017857,56,952,2
46,0.012605,56,952,0
47,0.071429,56,952,0
48,0.017857,56,952,0
50,0.154018,56,896,0
51,0.017857,56,952,0
52,0.146205,56,896,12
53,0.017857,56,952,0
54,0.000000,56,952,13
55,0.017857,56,896,0
56,0.003151,56,952,0
57,0.013393,56,896,0
58,0.053571,56,952,0
59,0.001050,56,952,0
60,0.001116,56,896,0
61,0.002101,56,952,2
62,0.049370,56,952,0
63,0.000000,56,896,0
64,0.004202,56,952,0
66,0.089286,56,952,0
67,0.133403,56,952,0
68,0.311975,56,952,0
69,0.000000,56,952,0
70,0.119748,56,952,0
71,0.017857,56,952,0
72,0.071429,56,952,0
73,0.000000,56,952,0
74,0.089286,56,896,0
76,0.000000,56,896,0
77,0.053571,56,952,0
78,0.035714,56,952,0
80,0.053571,56,952,0
81,0.071429,56,952,0
83,0.001050,56,952,0
84,0.017857,56,952,0
85,0.000000,56,952,0
88,0.053571,56,952,1
89,0.000000,56,952,0
90,0.000000,56,952,0
91,0.000000,56,952,0
92,0.042017,56,952,1
93,0.137605,56,952,0
94,0.000000,56,952,0
95,0.000000,56,896,0
98,0.000000,56,952,0
99,0.043067,56,952,0
100,0.000000,56,952,0
101,0.175223,56,896,2
102,0.000000,56,952,0
103,0.035714,56,952,14
104,0.009454,56,952,0
108,0.605042,56,952,0
109,0.053571,56,896,0
