subject_id,eer,n_genuine,n_impostor,n_genuine_not_ok
1,0.017857,56,952,0
2,0.056723,56,952,0
4,0.214286,56,952,0
5,0.099790,56,952,0
6,0.049370,56,952,0
7,0.144958,56,952,0
8,0.155462,56,952,0
9,0.024160,56,952,0
10,0.339286,56,952,0
12,0.178571,56,952,0
13,0.255252,56,952,0
14,0.035714,56,952,0
15,0.125000,56,952,0
16,0.142857,56,952,0
17,0.079241,56,896,0
19,0.025210,56,952,0
22,0.206473,56,896,0
23,0.200630,56,952,3
24,0.223739,56,952,0
25,0.092634,56,896,0
26,0.079832,56,952,0
27,0.443277,56,952,0
28,0.178571,56,952,0
29,0.071429,56,952,0
30,0.135504,56,952,0
31,0.060924,56,952,0
32,0.052521,56,952,0
33,0.048319,56,952,0
34,0.339286,56,952,0
37,0.107143,56,952,0
39,0.017857,56,896,0
40,0.053571,56,896,0
41,0.246849,56,952,0
42,0.089286,56,896,0
43,0.318277,56,952,0
44,0.428571,56,952,2
45,0.214286,56,952,2
46,0.089286,56,952,0
47,0.214286,56,952,0
48,0.136555,56,952,0
50,0.375000,56,896,0
51,0.073529,56,952,0
52,0.308036,56,896,12
53,0.125000,56,952,0
54,0.079832,56,952,13
55,0.061384,56,896,0
56,0.030462,56,952,0
57,0.078125,56,896,0
58,0.089286,56,952,0
59,0.017857,56,952,0
60,0.089286,56,896,0
61,0.071429,56,952,2
62,0.111345,56,952,0
63,0.060268,56,896,0
64,0.098739,56,952,0
66,0.196429,56,952,0
67,0.161765,56,952,0
68,0.392857,56,952,0
69,0.017857,56,952,0
70,0.160714,56,952,0
71,0.047269,56,952,0
72,0.142857,56,952,0
73,0.010504,56,952,0
74,0.195312,56,896,0
76,0.035714,56,896,0
77,0.073529,56,952,0
78,0.185924,56,952,0
80,0.116597,56,952,0
81,0.175420,56,952,0
83,0.089286,56,952,0
84,0.094538,56,952,0
85,0.017857,56,952,0
88,0.125000,56,952,1
89,0.035714,56,952,0
90,0.002101,56,952,0
91,0.014706,56,952,0
92,0.123950,56,952,1
93,0.236345,56,952,0
94,0.007353,56,952,0
95,0.000000,56,896,0
98,0.010504,56,952,0
99,0.136555,56,952,0
100,0.017857,56,952,0
101,0.166295,56,896,2
102,0.017857,56,952,0
103,0.118697,56,952,14
104,0.071429,56,952,0
108,0.637605,56,952,0
109,0.139509,56,896,0
