subject_id,eer,n_genuine,n_impostor,n_genuine_not_ok
1,0.021008,14,238,0
2,0.008475,14,236,0
4,0.012658,14,237,0
5,0.033613,14,238,0
6,0.037975,14,237,0
7,0.042017,14,238,0
8,0.000000,14,238,0
9,0.000000,14,236,3
10,0.012605,14,238,0
12,0.000000,14,237,0
13,0.021008,14,238,2
14,0.004202,13,238,0
15,0.033898,14,236,0
16,0.000000,14,237,0
17,0.071429,14,223,1
19,0.142857,14,238,0
22,0.071429,14,223,2
23,0.016807,14,238,1
24,0.012605,14,238,0
25,0.022422,14,223,0
26,0.008475,14,236,0
27,0.004202,14,238,0
28,0.067227,14,238,2
29,0.000000,14,237,0
30,0.142857,14,237,0
31,0.042194,14,237,0
32,0.071429,14,236,0
33,0.004219,14,237,0
34,0.042017,14,238,0
37,0.071429,14,238,0
39,0.017937,14,223,0
40,0.000000,14,223,0
41,0.142857,14,237,0
42,0.013453,14,223,0
43,0.264706,14,238,6
44,0.088235,14,238,0
45,0.071429,14,237,2
46,0.000000,14,238,0
47,0.042017,14,238,0
48,0.071429,14,238,0
50,0.071749,14,223,0
51,0.076923,13,237,0
52,0.214286,14,223,0
53,0.000000,14,236,0
54,0.000000,14,238,2
55,0.071429,14,223,0
56,0.008439,14,237,0
57,0.071429,14,223,0
58,0.000000,14,236,0
59,0.059322,14,236,0
60,0.000000,14,223,0
61,0.004202,14,238,5
62,0.029536,14,237,0
63,0.013453,14,223,0
64,0.203390,14,236,0
66,0.121849,14,238,0
67,0.000000,14,237,0
68,0.347458,14,236,0
69,0.004219,13,237,0
70,0.142857,14,238,0
71,0.000000,14,236,0
72,0.142857,14,236,0
73,0.000000,14,238,0
74,0.071429,14,223,0
76,0.000000,14,223,0
77,0.025210,14,238,0
78,0.071429,14,238,0
80,0.142857,14,236,0
81,0.008403,14,238,0
83,0.000000,14,238,0
84,0.000000,14,237,0
85,0.000000,14,238,0
88,0.071429,14,237,0
89,0.000000,14,236,0
90,0.000000,14,238,6
91,0.000000,14,238,12
92,0.072034,14,236,0
93,0.084034,14,238,0
94,0.071429,14,236,1
95,0.026906,14,223,2
98,0.000000,14,238,0
99,0.000000,14,237,0
100,0.000000,14,238,0
101,0.058296,14,223,0
102,0.004202,14,238,0
103,0.000000,14,237,0
104,0.105042,14,238,0
108,0.025210,14,238,6
109,0.076923,13,224,0
